City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
512,new richmond,45.123,-92.5366,1.45,73,75,4.63,US,1707717924
513,vila velha,-20.3297,-40.2925,23.3,96,40,0.89,BR,1707717924
514,uvalde,29.3669,-99.767,10.18,59,0,10.8,US,1707717924
515,kotel'nikovo,47.6317,43.1461,2.78,100,100,3.24,RU,1707717924
516,calca,-13.3333,-71.95,13.64,80,100,0.75,PE,1707717924
517,port saint john's,-31.6229,29.5448,23.17,71,17,5.75,ZA,1707717924
518,benguela,-12.5763,13.4055,27.56,78,97,0.31,AO,1707717633
519,puerto colombia,10.9878,-74.9547,28.05,80,7,9.28,CO,1707717924
520,kuqa,41.7278,82.9364,5.47,27,5,0.58,CN,1707717924
521,hibbing,47.4272,-92.9377,-2.36,74,100,0.0,US,1707717925
522,gobabis,-22.45,18.9667,23.85,52,74,4.16,NA,1707717925
523,masonboro,34.1793,-77.8475,16.71,95,100,1.54,US,1707717925
524,homer,59.6425,-151.5483,1.56,93,100,1.34,US,1707717925
525,necochea,-38.5473,-58.7368,20.66,92,10,3.9,AR,1707717850
526,mazatlan,23.2167,-106.4167,17.17,60,0,1.79,MX,1707717768
527,abu jibeha,11.4562,31.2285,25.08,11,25,2.91,SD,1707717925
528,brooks,50.5834,-111.8851,-5.01,91,100,2.06,CA,1707717723
529,ifakara,-8.1333,36.6833,24.34,95,100,0.4,TZ,1707717926
530,trevelin,-43.0858,-71.4639,7.71,88,1,2.47,AR,1707717926
531,balqash,46.8481,74.995,-14.67,72,0,4.0,KZ,1707717926
532,sungai penuh,-2.0833,101.3833,27.21,58,78,0.73,ID,1707717926
533,besisahar,28.2313,84.3761,22.64,17,0,3.54,NP,1707717926
534,rancho palos verdes,33.7445,-118.387,13.61,75,5,1.34,US,1707717926
535,xai-xai,-25.0519,33.6442,25.79,56,80,4.65,MZ,1707717927
536,kiama,-34.6833,150.8667,29.1,66,0,4.47,AU,1707717927
537,bubaque,11.2833,-15.8333,25.63,67,0,5.04,GW,1707717927
538,malabar,-33.9667,151.25,33.33,65,20,9.77,AU,1707717882
539,ussel,45.55,2.3167,2.16,97,100,0.78,FR,1707717927
540,tuy hoa,13.0833,109.3,23.85,75,99,6.17,VN,1707717927
541,tual,-5.6667,132.75,28.92,77,65,7.63,ID,1707717927
542,lodja,-3.4833,23.4333,24.11,76,51,1.44,CD,1707717928
543,babruysk,53.15,29.2333,1.71,99,100,3.23,BY,1707717928
544,kulhudhuffushi,6.6221,73.07,27.59,68,46,3.74,MV,1707717928
545,sainyabuli,19.25,101.75,29.89,37,10,1.25,LA,1707717928
546,chernyshevskiy,63.0128,112.4714,-26.79,91,100,2.63,RU,1707717928
547,kalix,65.853,23.1565,-28.93,99,19,1.87,SE,1707717928
548,boca chica,18.4537,-69.6111,22.06,88,20,2.06,DO,1707717928
549,mukalla,14.5425,49.1242,25.61,65,71,2.39,YE,1707717826
550,namibe,-15.1961,12.1522,24.76,83,94,4.75,AO,1707717929
551,mezhdurechenskiy,59.6,65.9333,-19.87,87,6,2.4,RU,1707717929
552,damavand,35.7178,52.065,5.24,72,1,0.14,IR,1707717929
553,jabor,5.921,169.6434,27.42,82,65,10.62,MH,1707717929
554,mossel bay,-34.1831,22.146,21.96,67,0,2.13,ZA,1707717929
555,adrar,20.5022,-10.0711,17.54,40,0,3.62,MR,1707717929
556,revda,56.801,59.9303,-15.41,93,99,4.13,RU,1707717929
557,morehead city,34.7229,-76.726,16.68,86,100,3.6,US,1707717930
558,turkmenbasy,40.0222,52.9552,12.43,54,0,3.09,TM,1707717930
559,sudislavl',57.8817,41.7083,-10.51,95,100,2.91,RU,1707717930
560,filey,54.21,-0.2892,3.92,89,15,2.24,GB,1707717930
561,val-d'or,48.1002,-77.7828,-5.95,100,100,1.54,CA,1707717887
