City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,vila franca do campo,37.7167,-25.4333,18.23,89,100,8.99,PT,1707275581
295,chulym,55.0997,80.9572,-8.53,86,100,4.38,RU,1707275581
296,kasongo,-4.45,26.6667,19.89,98,100,1.44,CD,1707275581
297,fale old settlement,-9.3852,-171.2468,28.73,81,100,10.73,TK,1707275581
298,arauca,7.0847,-70.7591,24.24,90,84,1.05,CO,1707275581
299,deyang,31.1302,104.382,6.42,79,100,2.03,CN,1707275581
300,san patricio,28.017,-97.5169,15.92,69,66,2.61,US,1707275582
301,floresta,-8.6011,-38.5686,26.0,70,24,7.17,BR,1707275431
302,cusseta,32.3054,-84.7727,8.81,72,0,2.06,US,1707275582
303,bardai,11.65,7.2333,16.93,27,69,6.28,NG,1707275582
304,coron,11.9986,120.2043,29.52,65,75,2.65,PH,1707275582
305,la arena,-5.3466,-80.7109,28.26,57,53,6.95,PE,1707275583
306,redencao,-4.2258,-38.7306,24.09,97,100,1.0,BR,1707275583
307,hasaki,35.7333,140.8333,10.16,46,83,5.34,JP,1707275583
308,challapata,-18.9,-66.7667,10.61,67,85,2.59,BO,1707275583
309,maceio,-9.6658,-35.7353,25.69,100,40,0.51,BR,1707275583
310,guozhen,34.3659,107.359,2.23,68,99,1.08,CN,1707275583
311,kapuskasing,49.4169,-82.4331,0.61,97,100,2.08,CA,1707275583
312,laredo,27.5064,-99.5075,18.16,39,0,4.12,US,1707275404
313,leua,48.2156,18.6071,5.83,86,6,3.86,SK,1707275584
314,nema,57.5067,50.5011,-9.27,95,100,4.87,RU,1707275584
315,niamey,13.5137,2.1098,20.71,16,90,5.79,NE,1707275584
316,la sarre,48.8002,-79.1996,-0.31,96,100,3.3,CA,1707275507
317,tarija,-21.5355,-64.7296,16.16,88,98,0.81,BO,1707275584
318,chake chake,-5.2459,39.7666,26.14,87,96,2.59,TZ,1707275584
319,turuntayevo,52.2,107.6167,-23.95,85,51,1.23,RU,1707275585
320,yerofey pavlovich,53.9667,121.9667,-8.97,74,97,1.72,RU,1707275585
321,montecanal,41.6297,-0.9387,12.76,76,0,2.06,ES,1707275585
322,chongwe,-15.3292,28.682,19.32,97,57,1.82,ZM,1707275585
323,mashava,-20.0367,30.4823,21.76,68,45,1.52,ZW,1707275586
324,labuan bajo,-8.4964,119.8877,29.74,67,58,2.94,ID,1707275364
325,bloemfontein,-29.1211,26.214,12.71,82,0,0.0,ZA,1707275586
326,moyale,3.5167,39.0584,20.79,47,41,2.9,KE,1707275586
327,beypazari,40.1675,31.9211,5.94,62,18,1.42,TR,1707275586
328,mattoon,39.4831,-88.3728,1.92,93,0,0.0,US,1707275586
329,santa ana,33.7456,-117.8678,11.4,94,100,0.0,US,1707275532
330,road town,18.4167,-64.6167,26.05,84,50,10.33,VG,1707275587
331,ta`u,-14.2336,-169.5144,28.21,84,100,13.16,AS,1707275587
332,aykhal,66.0,111.5,-29.27,100,100,2.12,RU,1707275587
333,el jadid,33.2549,-8.506,13.07,76,0,3.89,MA,1707275587
334,okhotsk,59.3833,143.3,-19.05,76,100,4.26,RU,1707275587
